year,sp,effort,source,source2
1961,Cod,0.792,assessment,Assessment F
1961,Herring,0.1845,assessment,Assessment F
1961,Sprat,0.33,assessment,Assessment F
1962,Cod,0.792,assessment,Assessment F
1962,Herring,0.1845,assessment,Assessment F
1962,Sprat,0.33,assessment,Assessment F
1963,Cod,0.792,assessment,Assessment F
1963,Herring,0.1845,assessment,Assessment F
1963,Sprat,0.33,assessment,Assessment F
1964,Cod,0.792,assessment,Assessment F
1964,Herring,0.1845,assessment,Assessment F
1964,Sprat,0.33,assessment,Assessment F
1965,Cod,0.792,assessment,Assessment F
1965,Herring,0.1845,assessment,Assessment F
1965,Sprat,0.33,assessment,Assessment F
1966,Cod,0.792,assessment,Assessment F
1966,Herring,0.1845,assessment,Assessment F
1966,Sprat,0.33,assessment,Assessment F
1967,Cod,0.792,assessment,Assessment F
1967,Herring,0.1845,assessment,Assessment F
1967,Sprat,0.33,assessment,Assessment F
1968,Cod,0.792,assessment,Assessment F
1968,Herring,0.1845,assessment,Assessment F
1968,Sprat,0.33,assessment,Assessment F
1969,Cod,0.792,assessment,Assessment F
1969,Herring,0.1845,assessment,Assessment F
1969,Sprat,0.33,assessment,Assessment F
1970,Cod,0.792,assessment,Assessment F
1970,Herring,0.1845,assessment,Assessment F
1970,Sprat,0.33,assessment,Assessment F
1971,Cod,0.792,assessment,Assessment F
1971,Herring,0.1845,assessment,Assessment F
1971,Sprat,0.33,assessment,Assessment F
1972,Cod,0.792,assessment,Assessment F
1972,Herring,0.1845,assessment,Assessment F
1972,Sprat,0.33,assessment,Assessment F
1973,Cod,0.792,assessment,Assessment F
1973,Herring,0.1845,assessment,Assessment F
1973,Sprat,0.33,assessment,Assessment F
1974,Cod,0.792,assessment,Assessment F
1974,Herring,0.1845,assessment,Assessment F
1974,Sprat,0.33,assessment,Assessment F
1975,Cod,0.732,assessment,Assessment F
1975,Herring,0.2004,assessment,Assessment F
1975,Sprat,0.35,assessment,Assessment F
1976,Cod,0.842,assessment,Assessment F
1976,Herring,0.1935,assessment,Assessment F
1976,Sprat,0.32,assessment,Assessment F
1977,Cod,0.823,assessment,Assessment F
1977,Herring,0.1888,assessment,Assessment F
1977,Sprat,0.28,assessment,Assessment F
1978,Cod,0.616,assessment,Assessment F
1978,Herring,0.1645,assessment,Assessment F
