Species;Year;TSB;SSB;F;AgesforMeanF;BiomassUnit_in_kg;Source
Cod;1966;347.319;169.906;0.948;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1967;410.446;213.63;1.214;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1968;412.504;226.613;1.058;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1969;390.428;222.793;1.034;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1970;355.4;211.082;0.987;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1971;329.391;195.438;0.862;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1972;350.109;201.793;0.859;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1973;397.918;217.51;0.854;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1974;476.394;259.367;0.792;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1975;526.497;312.388;0.732;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1976;515.555;330.38;0.842;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1977;528.607;322.868;0.823;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1978;665.304;367.692;0.616;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1979;878.525;515.04;0.597;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1980;958.38;631.593;0.7;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1981;958.38;643.064;0.788;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1982;990.535;634.759;0.795;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1983;941.284;609.869;0.744;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1984;845.768;594.217;0.839;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1985;722.159;527.551;0.829;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1986;531.788;377.377;0.998;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1987;483.11;322.546;0.938;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1988;439.327;289.816;0.888;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1989;333.034;226.613;1.035;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1990;256.53;207.316;1.199;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1991;183.873;136.353;1.348;4_to_6;10^6;ICES_WGBFAS_2013
Cod;1992;128.027;86.855;1.01;4_to_6;10^6;ICES_WGBFAS_2013
