"","AgeRings","Weight_g","Species","Length_cm"
"1",1,38.7920695225605,"Cod",16
"2",1,38.7920695225605,"Cod",16
"3",1,38.7920695225605,"Cod",16
"4",2,46.7275263780455,"Cod",17
"5",2,46.7275263780455,"Cod",17
"6",2,89.3938902860119,"Cod",21
"7",4,865.952996770136,"Cod",44
"8",4,927.805665155418,"Cod",45
"9",5,1205.02641869547,"Cod",49
"10",4,1282.13133980358,"Cod",50
"11",5,1533.28018203557,"Cod",53
"12",5,1623.84078588228,"Cod",54
"13",6,1917.03662256414,"Cod",57
"14",6,3006.73037363515,"Cod",66
"15",6,4097.2813157908,"Cod",73
"16",2,76.9585168540015,"Cod",20
"17",3,646.277112708259,"Cod",40
"18",3,697.173775907659,"Cod",41
"19",3,806.942819315405,"Cod",43
"20",4,927.805665155418,"Cod",45
"21",4,992.570002871883,"Cod",46
"22",4,992.570002871883,"Cod",46
"23",4,992.570002871883,"Cod",46
"24",4,992.570002871883,"Cod",46
"25",4,1205.02641869547,"Cod",49
"26",4,1446.18837985505,"Cod",52
"27",4,1446.18837985505,"Cod",52
"28",5,1717.94026760934,"Cod",55
"29",5,2022.17409666077,"Cod",58
"30",6,2243.97979083495,"Cod",60
"31",6,3148.79398386356,"Cod",67
"32",7,3602.01556812632,"Cod",70
"33",8,4272.04660867214,"Cod",74
"34",7,5021.40248249828,"Cod",78
"35",9,7021.3190552906,"Cod",87
"36",2,118.194987556792,"Cod",23
"37",2,193.366554425623,"Cod",27
"38",2,216.207004073774,"Cod",28
"39",3,240.799985392402,"Cod",29
"40",2,240.799985392402,"Cod",29
"41",2,295.511919421018,"Cod",31
"42",3,325.765460560781,"Cod",32
"43",3,358.040700474711,"Cod",33
"44",2,392.40531218777,"Cod",34
"45",3,392.40531218777,"Cod",34
"46",3,806.942819315405,"Cod",43
"47",4,806.942819315405,"Cod",43
"48",4,865.952996770136,"Cod",44
"49",4,927.805665155418,"Cod",45
"50",4,1282.13133980358,"Cod",50
"51",4,1533.28018203557,"Cod",53
"52",6,2606.57418341993,"Cod",63
"53",1,31.8196038176143,"Cod",15
"54",1,38.7920695225605,"Cod",16
"55",2,46.7275263780455,"Cod",17
"56",2,55.69050978041,"Cod",18
"57",2,65.7458217003128,"Cod",19
"58",2,89.3938902860119,"Cod",21
"59",2,172.21175037244,"Cod",26
"60",2,193.366554425623,"Cod",27
"61",2,216.207004073774,"Cod",28
"62",2,216.207004073774,"Cod",28
"63",2,216.207004073774,"Cod",28
"64",3,216.207004073774,"Cod",28
"65",3,325.765460560781,"Cod",32
"66",2,358.040700474711,"Cod",33
"67",3,392.40531218777,"Cod",34
