"","Year","temperature"
"1","1914",8.81193594880996
"2","1915",8.81193594880996
"3","1916",8.81193594880996
"4","1917",8.81193594880996
"5","1918",8.81193594880996
"6","1919",8.81193594880996
"7","1920",8.81193594880996
"8","1921",8.81193594880996
"9","1922",8.81193594880996
"10","1923",8.81193594880996
"11","1924",8.81193594880996
"12","1925",8.81193594880996
"13","1926",8.81193594880996
"14","1927",8.81193594880996
"15","1928",8.81193594880996
"16","1929",8.81193594880996
"17","1930",8.81193594880996
"18","1931",8.81193594880996
"19","1932",8.81193594880996
"20","1933",8.81193594880996
"21","1934",8.81193594880996
"22","1935",8.81193594880996
"23","1936",8.81193594880996
"24","1937",8.81193594880996
"25","1938",8.81193594880996
"26","1939",8.81193594880996
"27","1940",8.81193594880996
"28","1941",8.81193594880996
"29","1942",8.81193594880996
"30","1943",8.81193594880996
"31","1944",8.81193594880996
"32","1945",8.81193594880996
"33","1946",8.81193594880996
"34","1947",8.81193594880996
"35","1948",8.81193594880996
"36","1949",8.81193594880996
"37","1950",8.81193594880996
"38","1951",8.81193594880996
"39","1952",8.81193594880996
"40","1953",8.81193594880996
"41","1954",8.81193594880996
"42","1955",8.81193594880996
"43","1956",8.81193594880996
"44","1957",8.81193594880996
"45","1958",8.81193594880996
"46","1959",8.81193594880996
"47","1960",8.81193594880996
"48","1961",8.81193594880996
"49","1962",8.81193594880996
"50","1963",8.81193594880996
"51","1964",8.81193594880996
"52","1965",8.81193594880996
"53","1966",8.81193594880996
"54","1967",8.81193594880996
"55","1968",8.81193594880996
"56","1969",8.81193594880996
"57","1970",8.81193594880996
"58","1971",9.05705216767881
"59","1972",9.16057949801021
"60","1973",9.01395688733553
"61","1974",9.31966402349022
"62","1975",9.21017469605504
"63","1976",9.16385723684211
"64","1977",9.03568135735975
"65","1978",9.48467992394022
"66","1979",9.35212368862862
"67","1980",9.1369449181259
"68","1981",9.38630851889339
"69","1982",9.46757229725455
"70","1983",9.26417666642568
"71","1984",9.41728399122807
"72","1985",9.64668658322952
"73","1986",9.34632639723558
"74","1987",8.95042687984986
"75","1988",9.46244243421052
"76","1989",9.48752258802053
"77","1990",9.30659513872351
"78","1991",9.5320805173445
"79","1992",9.42984382907389
"80","1993",9.07625434176464
"81","1994",9.19288531495594
"82","1995",9.05819901394863
"83","1996",9.29242587613866
"84","1997",9.3571974542727
"85","1998",9.66780684139736
"86","1999",9.9337888917004
"87","2000",9.88852808704453
"88","2001",9.45573428643725
"89","2002",9.64555936905063
"90","2003",9.90233718686741
"91","2004",9.92388602967756
"92","2005",9.60756268700974
"93","2006",9.76694899369355
"94","2007",9.81553018363216
"95","2008",9.63962711918016
"96","2009",9.65218367176957
"97","2010",10.1733921300396
"98","2011",10.3767950149389
"99","2012",9.95965276192921
"100","2013",10.1472864035899
"101","2014",10.3954395865774
"102","2015",10.5135485906637
"103","2016",10.3216328830582
"104","2017",10.462149603275
"105","2018",10.5972578671329
"106","2019",10.5657575835507
"107","2020",10.1753109637073
"108","2021",10.1862219956789
"109","2022",10.3841468205588
"110","2023",10.3172705901372
"111","2024",10.024004972166
"112","2025",10.2741284074067
"113","2026",10.490831392333
"114","2027",10.2665136955972
"115","2028",10.3053791771551
"116","2029",10.4934861871874
"117","2030",10.3443787032937
"118","2031",10.3264370318826
"119","2032",10.6628674684519
"120","2033",10.9128859058704
"121","2034",10.8772914247759
"122","2035",10.6841661816802
"123","2036",10.5981250805116
"124","2037",10.6096290738866
"125","2038",10.7512632683106
"126","2039",10.8210470187707
"127","2040",10.999446811289
"128","2041",11.2666931511471
"129","2042",11.3065789147804
"130","2043",11.0001803213563
"131","2044",10.6836194458502
"132","2045",10.9667258118252
"133","2046",11.1390332742915
"134","2047",10.9988746571069
"135","2048",10.8542474877096
"136","2049",10.9065457805732
"137","2050",11.1934087634953
